"ocid","id","initiationType","buyer_id","buyer_name","language","date","tag"
"ocds-5wno2w-REAPJ-EMGIRS-01-2023-325307","REAPJ-EMGIRS-01-2023-325307-2023-08-23T02:47:24.033Z","tender","EC-RUC-1768158410001-325307","Empresa Pública Metropolitana de Gestión Integral de Residuos Sólidos","es","2023-04-26T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-CBCLA-001-2023-87780","RE-CBCLA-001-2023-87780-2023-08-23T03:55:33.210Z","tender","EC-RUC-2160058640001-87780","CUERPO DE BOMBEROS DEL CANTON LAGO AGRIO","es","2023-04-27T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-CBCLA-002-2023-87780","RE-CBCLA-002-2023-87780-2023-08-23T03:56:36.464Z","tender","EC-RUC-2160058640001-87780","CUERPO DE BOMBEROS DEL CANTON LAGO AGRIO","es","2023-05-02T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-EPFLP-08-2023-404551","RE-EPFLP-08-2023-404551-2023-08-23T02:47:37.795Z","tender","EC-RUC-1768164300001-404551","EMPRESA PUBLICA FLOTA PETROLERA ECUATORIANA -EP FLOPEC-","es","2023-04-26T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-EXP-002-2023-486771","RE-EXP-002-2023-486771-2023-08-23T04:13:40.884Z","tender","EC-RUC-1790326136001-486771","EXPLOCEN C.A.","es","2023-06-27T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-REP-CBS-002-2023-231932","REP-CBS-002-2023-231932-2023-08-23T02:45:18.072Z","tender","EC-RUC-0968524360001-231932","CUERPO DE BOMBEROS DE SALINAS","es","2023-04-24T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-ESPOCH-1-2023-53390","RE-APJ-ESPOCH-1-2023-53390-2023-08-23T02:59:09.539Z","tender","EC-RUC-0660001250001-53390","ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO","es","2023-05-15T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-GADMA-001-23-2161","RE-APJ-GADMA-001-23-2161-2023-08-23T02:49:38.777Z","tender","EC-RUC-1860000210001-2161","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALIDAD DE AMBATO","es","2023-04-28T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-GADMCS-01-23-57127","RE-APJ-GADMCS-01-23-57127-2023-08-23T03:44:04.422Z","tender","EC-RUC-0960001460001-57127","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAMBORONDON","es","2023-03-24T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-APJ-GADMM-01-023-28990","RE-APJ-GADMM-01-023-28990-2023-08-23T04:28:05.922Z","tender","EC-RUC-0760000260001-28990","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL  DE MACHALA","es","2023-07-26T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-APJGADSM-002-2023-240828","RE-APJGADSM-002-2023-240828-2023-08-23T03:40:31.100Z","tender","EC-RUC-0860031120001-240828","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL SAN MATEO","es","2023-03-13T00:00:00-05:00","[""planning"",""tender"",""award""]"
"ocds-5wno2w-RE-APJ-UNACH-01-2023-124774","RE-APJ-UNACH-01-2023-124774-2023-08-23T02:59:41.586Z","tender","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","es","2023-05-15T00:00:00-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-EMAPAGEP-2023-05-439831","RE-EMAPAGEP-2023-05-439831-2023-08-31T04:01:08.587Z-compiled","tender","EC-RUC-0968595970001-439831","EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE GUAYAQUIL EP - EMAPAG EP","es","2023-08-30T23:16:44-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-FONAG-RE-001-2023-227909","FONAG-RE-001-2023-227909-2023-09-01T20:59:00.929Z-compiled","tender","EC-RUC-1791722205001-227909","FIDEICOMISO MERCANTIL FONDO AMBIENTAL PARA LA PROTECCION DE LAS CUENCAS  Y AGUA - FONAG","es","2023-09-01T16:12:21-05:00","[""planning"",""tender"",""award"",""contract""]"
"ocds-5wno2w-RE-APJ-EPMASE2023001-1015227","RE-APJ-EPMASE2023001-1015227-2023-09-01T21:10:42.549Z","tender","EC-RUC-0968609270001-1015227","EMPRESA PUBLICA MUNICIPAL DE ACCION SOCIAL Y EDUCACION DE GUAYAQUIL","es","2023-08-17T00:00:00-05:00","[""planning"",""tender""]"
