"ocid","release_id","id","title","description","status","procuringEntity_id","procuringEntity_name","value_amount","value_currency","procurementMethod","procurementMethodDetails","mainProcurementCategory","awardCriteria","tenderPeriod_startDate","tenderPeriod_endDate","tenderPeriod_maxExtentDate","tenderPeriod_durationInDays","enquiryPeriod_startDate","enquiryPeriod_endDate","enquiryPeriod_maxExtentDate","enquiryPeriod_durationInDays","hasEnquiries","eligibilityCriteria","awardPeriod_startDate","awardPeriod_endDate","awardPeriod_maxExtentDate","awardPeriod_durationInDays","numberOfTenderers"
"ocds-5wno2w-RE-CBVA-2023-001-84942","RE-CBVA-2023-001-84942-2023-08-23T03:11:36.536Z","RE-CBVA-2023-001-84942","RE-CBVA-2023-001-84942","Asesoría, Consultas Especiales y Patrocinio Jurídico  para el Cuerpo de Bomberos de Azogues.","complete","EC-RUC-0360016150001-84942","Cuerpo de Bomberos de Azogues","6000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-06-05T15:00:00-05:00","2023-06-07T15:00:00-05:00","2023-06-07T15:00:00-05:00","2","2023-06-05T15:00:00-05:00","","","","","Ponderación Variable Producción Nacional Otros,Otros Parámetros de Calificación,Experiencia General,Experiencia Específica","","2023-06-09T16:00:00-05:00","2023-06-09T16:00:00-05:00","","1"
"ocds-5wno2w-RE-EPAPAP-001-2023-362095","RE-EPAPAP-001-2023-362095-2023-08-23T02:32:03.636Z","RE-EPAPAP-001-2023-362095","RE-EPAPAP-001-2023-362095","Contratación de un abogado para la defensa institucional en el proceso No. 05331-2022-00655.","complete","EC-RUC-0560033550001-362095","Empresa Publica de Agua Potable y Alcantarillado de Pujili","6900.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-11T16:00:00-05:00","2023-04-17T15:00:00-05:00","2023-04-17T15:00:00-05:00","5","2023-04-11T16:00:00-05:00","","","","","Experiencia,Cumplimiento Especificaciones,Personal Técnico","","2023-04-21T16:00:00-05:00","2023-04-21T16:00:00-05:00","","1"
"ocds-5wno2w-RE-EPUPSE-001-2023-444379","RE-EPUPSE-001-2023-444379-2023-08-23T03:58:49.585Z","RE-EPUPSE-001-2023-444379","RE-EPUPSE-001-2023-444379","ASESORÍA JURÍDICA EN EL ÁMBITO ADMINISTRATIVO PARA ELABORAR LOS ESTUDIOS, ESTATUTOS, ANTEPROYECTO Y DEMÁS INSTRUMENTOS TENDIENTES A LA CREACIÓN DE LA ESCUELA DE CONDUCCIÓN DE LA UPSE","complete","EC-RUC-2460002390001-444379","EMPRESA PUBLICA DE OBRAS, BIENES Y SERVICIOS SANTA ELENA EP","36000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-05-10T14:30:00-05:00","2023-05-15T10:00:00-05:00","2023-05-15T10:00:00-05:00","4","2023-05-10T14:30:00-05:00","","","","","Oferta Económica,Cumplimiento Especificaciones,Experiencia General,Experiencia Específica,Instrumentos y equipos disponibles","","2023-05-19T16:00:00-05:00","2023-05-19T16:00:00-05:00","","1"
"ocds-5wno2w-RMPT-PJ-001-2023-441952","RMPT-PJ-001-2023-441952-2023-08-23T03:46:09.463Z","RMPT-PJ-001-2023-441952","RMPT-PJ-001-2023-441952","CONTRATACION DE UN PROFESIONAL DEL DERECHO PARA PRESTACION DE SERVICIOS DE ASESORIA Y PATROCINIO EN MATERIA JURIDICA EN ELE EXPEDIENTE ADMINISTRATIVO","complete","EC-RUC-0460033650001-441952","REGISTRO MUNICIPAL DE LA PROPIEDAD DEL CANTON TULCAN","448.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-31T11:30:00-05:00","2023-04-03T15:30:00-05:00","2023-04-03T15:30:00-05:00","3","2023-03-31T11:30:00-05:00","","","","","Experiencia,Oferta Económica","","2023-04-05T12:30:00-05:00","2023-04-05T12:30:00-05:00","","1"
"ocds-5wno2w-FONAG-RE-002-2023-227909","FONAG-RE-002-2023-227909-2023-08-23T03:56:51.027Z","FONAG-RE-002-2023-227909","FONAG-RE-002-2023-227909","trámite Legal y asesoría en el proceso de unificación de superficie de 7 predios ubicados en la parroquia Papallacta, del cantón Quijos","complete","EC-RUC-1791722205001-227909","FIDEICOMISO MERCANTIL FONDO AMBIENTAL PARA LA PROTECCION DE LAS CUENCAS  Y AGUA - FONAG","4000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-05-04T15:00:00-05:00","2023-05-09T15:00:00-05:00","2023-05-09T15:00:00-05:00","5","2023-05-04T15:00:00-05:00","","","","TRUE","Plazo de Entrega,Personal Técnico,Experiencia General,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-05-18T15:00:00-05:00","2023-05-18T15:00:00-05:00","","1"
"ocds-5wno2w-REAPJ-EMGIRS-01-2023-325307","REAPJ-EMGIRS-01-2023-325307-2023-08-23T02:47:24.033Z","REAPJ-EMGIRS-01-2023-325307","REAPJ-EMGIRS-01-2023-325307","Contratación de patrocinio para el proceso penal, en investigación previa Nro. 170101821094325","complete","EC-RUC-1768158410001-325307","Empresa Pública Metropolitana de Gestión Integral de Residuos Sólidos","62500.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-26T19:00:00-05:00","2023-05-02T10:00:00-05:00","2023-05-02T10:00:00-05:00","5","2023-04-26T19:00:00-05:00","","","","TRUE","Experiencia,Otros Parámetros de Calificación,Personal Técnico","","2023-05-08T19:00:00-05:00","2023-05-08T19:00:00-05:00","","1"
"ocds-5wno2w-RE-CBCLA-001-2023-87780","RE-CBCLA-001-2023-87780-2023-08-23T03:55:33.210Z","RE-CBCLA-001-2023-87780","RE-CBCLA-001-2023-87780","CONTRATACIÓN DE ASESORÍA JURÍDICA PARA LA DEFENSA TÉCNICA DENTRO DEL PROCESO DE ACCIÓN DE PROTECCIÓN NRO. 21241-2022-00012","complete","EC-RUC-2160058640001-87780","CUERPO DE BOMBEROS DEL CANTON LAGO AGRIO","8000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-27T14:00:00-05:00","2023-05-04T14:00:00-05:00","2023-05-04T14:00:00-05:00","7","2023-04-27T14:00:00-05:00","","","","","Experiencia General,Experiencia Específica","","2023-05-09T11:00:00-05:00","2023-05-09T11:00:00-05:00","","1"
"ocds-5wno2w-RE-CBCLA-002-2023-87780","RE-CBCLA-002-2023-87780-2023-08-23T03:56:36.464Z","RE-CBCLA-002-2023-87780","RE-CBCLA-002-2023-87780","CONTRATACIÓN DE ASESORÍA JURÍDICA ESPECIALIZADA PARA LADEFENSA TÉCNICA EN PRIMERA Y SEGUNDA INSTANCIA DENTRO DEL PROCESODE ACCIÓN DE PROTECCIÓN NRO. 21201-2023-00013","complete","EC-RUC-2160058640001-87780","CUERPO DE BOMBEROS DEL CANTON LAGO AGRIO","8000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-05-02T15:00:00-05:00","2023-05-08T15:00:00-05:00","2023-05-08T15:00:00-05:00","6","2023-05-02T15:00:00-05:00","","","","","Experiencia General,Experiencia Específica","","2023-05-12T09:00:00-05:00","2023-05-12T09:00:00-05:00","","1"
"ocds-5wno2w-RE-EPFLP-08-2023-404551","RE-EPFLP-08-2023-404551-2023-08-23T02:47:37.795Z","RE-EPFLP-08-2023-404551","RE-EPFLP-08-2023-404551","SERVICIO DE ASESORÍA LEGAL ESPECIALIZADA EN TEMAS DE DERECHO ADMINISTRATIVO","complete","EC-RUC-1768164300001-404551","EMPRESA PUBLICA FLOTA PETROLERA ECUATORIANA -EP FLOPEC-","180000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-26T17:01:00-05:00","2023-05-04T10:00:00-05:00","2023-05-04T10:00:00-05:00","7","2023-04-26T17:01:00-05:00","","","","","Experiencia General,Experiencia Específica","","2023-05-12T17:00:00-05:00","2023-05-12T17:00:00-05:00","","1"
"ocds-5wno2w-RE-EXP-002-2023-486771","RE-EXP-002-2023-486771-2023-08-23T04:13:40.884Z","RE-EXP-002-2023-486771","RE-EXP-002-2023-486771","CONTRATACIÓN DE ASESORÍA Y PATROCINIO JURÍDICO PARA EXPLOCEN C.A.","complete","EC-RUC-1790326136001-486771","EXPLOCEN C.A.","36000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-06-27T19:30:00-05:00","2023-06-29T18:00:00-05:00","2023-06-29T18:00:00-05:00","1","2023-06-27T19:30:00-05:00","","","","TRUE","Otros Parámetros de Calificación,Personal Técnico,Experiencia General,Experiencia Personal Técnico","","2023-07-06T19:49:00-05:00","2023-07-06T19:49:00-05:00","","1"
"ocds-5wno2w-REP-CBS-002-2023-231932","REP-CBS-002-2023-231932-2023-08-23T02:45:18.072Z","REP-CBS-002-2023-231932","REP-CBS-002-2023-231932","CONTRATACIÓN DE ASESORÍA Y PATROCINIO JURÍDICO PARA LA DEFENSA DE LOS INTERESES DEL CUERPO DE BOMBEROS DE SALINAS PARA PATROCINAR UN RECURSO EXTRAORDINARIO DE CASACIÓN EN CONTRA DE LA SENTENCIA EMITIDA POR EL TRIBUNAL DISTRITAL DE LO CONTENCIOSO ADMI","complete","EC-RUC-0968524360001-231932","CUERPO DE BOMBEROS DE SALINAS","6000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-24T17:50:00-05:00","2023-04-26T18:00:00-05:00","2023-04-26T18:00:00-05:00","2","2023-04-24T17:50:00-05:00","","","","","Personal Técnico,Experiencia Específica,Experiencia Personal Técnico","","2023-04-28T17:00:00-05:00","2023-04-28T17:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-ESPOCH-1-2023-53390","RE-APJ-ESPOCH-1-2023-53390-2023-08-23T02:59:09.539Z","RE-APJ-ESPOCH-1-2023-53390","RE-APJ-ESPOCH-1-2023-53390","CONTRATACIÓN DEL SERVICIO DE ASESORÍA Y PATROCINIO EN MATERIA JURÍDICA REQUERIDA POR LA ESPOCH EN LAS CIUDADES DE QUITO Y AMBATO Y DEMÁS CIUDADES QUE NO SEAN LA CIUDAD MATRIZ DE LA INSTITUCIÓN","complete","EC-RUC-0660001250001-53390","ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO","36000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-05-15T18:00:00-05:00","2023-05-22T15:00:00-05:00","2023-05-22T15:00:00-05:00","6","2023-05-15T18:00:00-05:00","","","","TRUE","Oferta Económica,Otros Parámetros de Calificación,Cumplimiento Especificaciones","","2023-06-07T18:00:00-05:00","2023-06-07T18:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-GADMA-001-23-2161","RE-APJ-GADMA-001-23-2161-2023-08-23T02:49:38.777Z","RE-APJ-GADMA-001-23-2161","RE-APJ-GADMA-001-23-2161","CONTRATACIÓN DE SERVICIOS PROFESIONALES PARA EL PATROCINIO LEGAL EXTERNO AL GOBIERNO AUTÓNOMO DESCENTRALIZADO MUNICIPALIDAD DE AMBATO EN DIVERSOS PROCESOS JUDICIALES A NIVEL NACIONAL","complete","EC-RUC-1860000210001-2161","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPALIDAD DE AMBATO","20000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-04-28T13:00:00-05:00","2023-05-03T12:00:00-05:00","2023-05-03T12:00:00-05:00","4","2023-04-28T13:00:00-05:00","","","","","Experiencia,Otros Parámetros de Calificación","","2023-05-12T20:00:00-05:00","2023-05-12T20:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-GADMCS-01-23-57127","RE-APJ-GADMCS-01-23-57127-2023-08-23T03:44:04.422Z","RE-APJ-GADMCS-01-23-57127","RE-APJ-GADMCS-01-23-57127","CONTRATACIÓN DE LOS SERVICIOS DE UN ESTUDIO JURÍDICO Y/O PROFESIONAL DEL DERECHO CON AMPLIO CONOCIMIENTO EN MATERIA CONSTITUCIONAL PARA QUE PUEDA PATROCINAR Y POR ENDE EJERCER EL DERECHO A LA LEGÍTIMA DEFENSA Y A LOS INTERESES MUNICIPALES","complete","EC-RUC-0960001460001-57127","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SAMBORONDON","65000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-24T08:30:00-05:00","2023-04-03T15:30:00-05:00","2023-04-03T15:30:00-05:00","10","2023-03-24T08:30:00-05:00","","","","","Metodología de Desarrollo,Equipo Propuesto,Personal Técnico,Experiencia General,Experiencia Específica,Experiencia Personal Técnico","","2023-04-10T16:30:00-05:00","2023-04-10T16:30:00-05:00","","1"
"ocds-5wno2w-RE-APJ-GADMM-01-023-28990","RE-APJ-GADMM-01-023-28990-2023-08-23T04:28:05.922Z","RE-APJ-GADMM-01-023-28990","RE-APJ-GADMM-01-023-28990","ASESORIA Y PATROCINIO JURÍDICO EN PROCESOS CONSTITUCIONALES Y CONTENCIOSOS FUERA DE LA CIUDAD","complete","EC-RUC-0760000260001-28990","GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL  DE MACHALA","57000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-07-26T12:30:00-05:00","2023-07-27T09:00:00-05:00","2023-07-27T09:00:00-05:00","","2023-07-26T12:30:00-05:00","","","","","Oferta Económica,Cumplimiento Especificaciones","","2023-08-01T15:00:00-05:00","2023-08-01T15:00:00-05:00","","1"
"ocds-5wno2w-RE-APJGADSM-002-2023-240828","RE-APJGADSM-002-2023-240828-2023-08-23T03:40:31.100Z","RE-APJGADSM-002-2023-240828","RE-APJGADSM-002-2023-240828","SERVICIOS DE ASESORÍA Y PATROCINIO JURÍDICO ESPECIALIZADO PARA LA DEFENSA DEL GOBIERNO PARROQUIAL RURAL SAN MATEO","complete","EC-RUC-0860031120001-240828","GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL SAN MATEO","11000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-13T16:30:00-05:00","2023-03-16T16:00:00-05:00","2023-03-16T16:00:00-05:00","2","2023-03-13T16:30:00-05:00","","","","","Experiencia General,Experiencia Específica","","2023-03-16T18:00:00-05:00","2023-03-16T18:00:00-05:00","","1"
"ocds-5wno2w-RE-APJ-UNACH-01-2023-124774","RE-APJ-UNACH-01-2023-124774-2023-08-23T02:59:41.586Z","RE-APJ-UNACH-01-2023-124774","RE-APJ-UNACH-01-2023-124774","Objeto de Contratación: CONTRATACIÓN DEL SERVICIO DE ASESORÍA JURÍDICA EXTERNAPARA LA UNIVERSIDAD NACIONAL DE CHIMBORAZO, AÑO 2023","complete","EC-RUC-0660001840001-124774","Universidad Nacional de Chimborazo","25000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-05-15T20:00:00-05:00","2023-05-17T15:00:00-05:00","2023-05-17T15:00:00-05:00","1","2023-05-15T20:00:00-05:00","","","","","Experiencia,Oferta Económica,Cumplimiento Especificaciones,Experiencia Personal Técnico","","2023-05-23T17:30:00-05:00","2023-05-23T17:30:00-05:00","","1"
"ocds-5wno2w-RE-EMAPAGEP-2023-05-439831","RE-EMAPAGEP-2023-05-439831-2023-08-31T04:01:08.587Z-compiled","RE-EMAPAGEP-2023-05-439831","RE-EMAPAGEP-2023-05-439831","ASESORÍA LEGAL SOBRE ASUNTOS INHERENTES AL DIRECTORIO DE LA EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE GUAYAQUIL, EP EMAPAG EP, ESPECÍFICAMENTE EN MATERIA DE DERECHO ADMINISTRATIVO, DERECHO CONSTITUCIONAL, DERECHO CIVIL, DERECHO PENAL Y DEMÁS RAMAS DEL DERECHO APLICABLES","complete","EC-RUC-0968595970001-439831","EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE GUAYAQUIL EP - EMAPAG EP","54000.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-08-08T17:00:00-05:00","2023-08-14T14:00:00-05:00","2023-08-14T14:00:00-05:00","5","2023-08-08T17:00:00-05:00","","","","","Oferta Económica,Personal Técnico,Experiencia Específica","","2023-08-18T17:00:00-05:00","2023-08-18T17:00:00-05:00","","1"
"ocds-5wno2w-FONAG-RE-001-2023-227909","FONAG-RE-001-2023-227909-2023-09-01T20:59:00.929Z-compiled","FONAG-RE-001-2023-227909","FONAG-RE-001-2023-227909","CONTRATACIÓN DE SERVICIOS PROFESIONALES PARA EFECTUAR EL PROCESO DE TRANSFERENCIA DE DOMINIO A FAVOR DEL FONAG DE 7 PREDIOS UBICADOS EN EL CANTÓN QUIJOS – PROVINCIA DE NAPO","complete","EC-RUC-1791722205001-227909","FIDEICOMISO MERCANTIL FONDO AMBIENTAL PARA LA PROTECCION DE LAS CUENCAS  Y AGUA - FONAG","5250.00","USD","direct","Asesoría y Patrocinio Jurídico","services","ratedCriteria","2023-03-07T15:00:00-05:00","2023-03-13T15:00:00-05:00","2023-03-13T15:00:00-05:00","6","2023-03-07T15:00:00-05:00","","","","TRUE","Plazo de Entrega,Metodología de Desarrollo,Metodología y Cronograma,Personal Técnico,Experiencia General,Experiencia Personal Técnico,Instrumentos y equipos disponibles","","2023-03-22T17:11:00-05:00","2023-03-22T17:11:00-05:00","","1"
